region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV sales,Cars,BEV,2011,,49
Australia,Historical,EV sales,Cars,BEV,2012,,173
Australia,Historical,EV sales,Cars,PHEV,2012,,80
Australia,Historical,EV sales,Cars,BEV,2013,,191
Australia,Historical,EV sales,Cars,PHEV,2013,,102
Australia,Historical,EV sales,Cars,BEV,2014,,371
Australia,Historical,EV sales,Cars,PHEV,2014,,951
Australia,Historical,EV sales,Cars,BEV,2015,,759
Australia,Historical,EV sales,Cars,PHEV,2015,,1012
Australia,Historical,EV sales,Cars,BEV,2016,,668
Australia,Historical,EV sales,Cars,PHEV,2016,,701
Australia,Historical,EV sales,Cars,BEV,2017,,1208
Australia,Historical,EV sales,Cars,PHEV,2017,,1076
Australia,Historical,EV sales,Cars,BEV,2018,,1803
Australia,Historical,EV sales,Cars,PHEV,2018,,1802
Australia,Historical,EV sales,Cars,BEV,2019,,6283
Australia,Historical,EV sales,Cars,PHEV,2019,,2877
Australia,Historical,EV sales,Cars,BEV,2020,,5238
Australia,Historical,EV sales,Cars,PHEV,2020,,1307
Belgium,Historical,EV sales,Cars,BEV,2011,,175
Belgium,Historical,EV sales,Cars,PHEV,2011,,11
Belgium,Historical,EV sales,Cars,BEV,2012,,355
Belgium,Historical,EV sales,Cars,PHEV,2012,,210
Belgium,Historical,EV sales,Cars,BEV,2013,,500
Belgium,Historical,EV sales,Cars,PHEV,2013,,34
Belgium,Historical,EV sales,Cars,BEV,2014,,2047
Belgium,Historical,EV sales,Cars,PHEV,2014,,69
Belgium,Historical,EV sales,Cars,BEV,2015,,1358
Belgium,Historical,EV sales,Cars,FCEV,2015,,2
Belgium,Historical,EV sales,Cars,PHEV,2015,,2477
Belgium,Historical,EV sales,Cars,BEV,2016,,2054
Belgium,Historical,EV sales,Cars,FCEV,2016,,7
Belgium,Historical,EV sales,Cars,PHEV,2016,,6671
Belgium,Historical,EV sales,Cars,BEV,2017,,2713
Belgium,Historical,EV sales,Cars,FCEV,2017,,11
Belgium,Historical,EV sales,Cars,PHEV,2017,,11746
Belgium,Historical,EV sales,Cars,BEV,2018,,3647
Belgium,Historical,EV sales,Cars,FCEV,2018,,16
Belgium,Historical,EV sales,Cars,PHEV,2018,,9706
Belgium,Historical,EV sales,Cars,BEV,2019,,8837
Belgium,Historical,EV sales,Cars,FCEV,2019,,12
Belgium,Historical,EV sales,Cars,PHEV,2019,,8924
Belgium,Historical,EV sales,Cars,BEV,2020,,15195
Belgium,Historical,EV sales,Cars,FCEV,2020,,23
Belgium,Historical,EV sales,Cars,PHEV,2020,,33012
Brazil,Historical,EV sales,Cars,BEV,2012,,73.5999984741211
Brazil,Historical,EV sales,Cars,PHEV,2012,,18.399999618530273
Brazil,Historical,EV sales,Cars,BEV,2013,,133.60000610351562
Brazil,Historical,EV sales,Cars,PHEV,2013,,33.400001525878906
Brazil,Historical,EV sales,Cars,BEV,2014,,61
Brazil,Historical,EV sales,Cars,BEV,2015,,59
Brazil,Historical,EV sales,Cars,PHEV,2015,,28
Brazil,Historical,EV sales,Cars,BEV,2016,,126
Brazil,Historical,EV sales,Cars,PHEV,2016,,47
Brazil,Historical,EV sales,Cars,BEV,2017,,28
Brazil,Historical,EV sales,Cars,PHEV,2017,,288
Brazil,Historical,EV sales,Cars,BEV,2018,,71
Brazil,Historical,EV sales,Cars,PHEV,2018,,234
Brazil,Historical,EV sales,Cars,BEV,2019,,538
Brazil,Historical,EV sales,Cars,PHEV,2019,,1373
Brazil,Historical,EV sales,Cars,BEV,2020,,686
Brazil,Historical,EV sales,Cars,PHEV,2020,,1296
Canada,Historical,EV sales,Cars,BEV,2011,,220
Canada,Historical,EV sales,Cars,PHEV,2011,,300
Canada,Historical,EV sales,Cars,BEV,2012,,620
Canada,Historical,EV sales,Cars,PHEV,2012,,1400
Canada,Historical,EV sales,Cars,BEV,2013,,1640
Canada,Historical,EV sales,Cars,PHEV,2013,,1480
Canada,Historical,EV sales,Cars,BEV,2014,,2825
Canada,Historical,EV sales,Cars,PHEV,2014,,2240
Canada,Historical,EV sales,Cars,BEV,2015,,4380
Canada,Historical,EV sales,Cars,PHEV,2015,,2580
Canada,Historical,EV sales,Cars,BEV,2016,,5220
Canada,Historical,EV sales,Cars,PHEV,2016,,6360
Canada,Historical,EV sales,Cars,BEV,2017,,8714.5517578125
Canada,Historical,EV sales,Cars,PHEV,2017,,7970.14892578125
Canada,Historical,EV sales,Cars,BEV,2018,,22660
Canada,Historical,EV sales,Cars,PHEV,2018,,21490
Canada,Historical,EV sales,Cars,BEV,2019,,32402
Canada,Historical,EV sales,Cars,FCEV,2019,,79
Canada,Historical,EV sales,Cars,PHEV,2019,,18561
Canada,Historical,EV sales,Cars,BEV,2020,,36912
Canada,Historical,EV sales,Cars,FCEV,2020,,16
Canada,Historical,EV sales,Cars,PHEV,2020,,14464
Chile,Historical,EV sales,Cars,BEV,2011,,6
Chile,Historical,EV sales,Cars,BEV,2012,,5
Chile,Historical,EV sales,Cars,BEV,2013,,5
Chile,Historical,EV sales,Cars,BEV,2014,,3
Chile,Historical,EV sales,Cars,PHEV,2014,,14
Chile,Historical,EV sales,Cars,BEV,2015,,13
Chile,Historical,EV sales,Cars,PHEV,2015,,23
Chile,Historical,EV sales,Cars,BEV,2016,,22
Chile,Historical,EV sales,Cars,PHEV,2016,,9
Chile,Historical,EV sales,Cars,BEV,2017,,118
Chile,Historical,EV sales,Cars,PHEV,2017,,15
Chile,Historical,EV sales,Cars,BEV,2018,,109
Chile,Historical,EV sales,Cars,PHEV,2018,,68
Chile,Historical,EV sales,Cars,BEV,2019,,161
Chile,Historical,EV sales,Cars,PHEV,2019,,137
Chile,Historical,EV sales,Cars,BEV,2020,,112
Chile,Historical,EV sales,Cars,PHEV,2020,,79
China,Historical,EV sales,Cars,BEV,2010,,1090
China,Historical,EV sales,Cars,PHEV,2010,,340
China,Historical,EV sales,Cars,BEV,2011,,4750
China,Historical,EV sales,Cars,PHEV,2011,,320
China,Historical,EV sales,Cars,BEV,2012,,9640
China,Historical,EV sales,Cars,PHEV,2012,,260
China,Historical,EV sales,Cars,BEV,2013,,14610
China,Historical,EV sales,Cars,PHEV,2013,,730
China,Historical,EV sales,Cars,BEV,2014,,48906.33203125
China,Historical,EV sales,Cars,PHEV,2014,,24265.19921875
China,Historical,EV sales,Cars,BEV,2015,,146719
China,Historical,EV sales,Cars,PHEV,2015,,60663
China,Historical,EV sales,Cars,BEV,2016,,257000
China,Historical,EV sales,Cars,PHEV,2016,,79000
China,Historical,EV sales,Cars,BEV,2017,,468000
China,Historical,EV sales,Cars,PHEV,2017,,111000
China,Historical,EV sales,Cars,BEV,2018,,815870
China,Historical,EV sales,Cars,FCEV,2018,,1527
China,Historical,EV sales,Cars,PHEV,2018,,265219
China,Historical,EV sales,Cars,BEV,2019,,834197
China,Historical,EV sales,Cars,FCEV,2019,,2737
China,Historical,EV sales,Cars,PHEV,2019,,226106
China,Historical,EV sales,Cars,BEV,2020,,931291
China,Historical,EV sales,Cars,FCEV,2020,,1182
China,Historical,EV sales,Cars,PHEV,2020,,228291
Denmark,Historical,EV sales,Cars,BEV,2010,,28
Denmark,Historical,EV sales,Cars,PHEV,2010,,20
Denmark,Historical,EV sales,Cars,BEV,2011,,422
Denmark,Historical,EV sales,Cars,BEV,2012,,486
Denmark,Historical,EV sales,Cars,PHEV,2012,,11
Denmark,Historical,EV sales,Cars,BEV,2013,,495
Denmark,Historical,EV sales,Cars,PHEV,2013,,6
Denmark,Historical,EV sales,Cars,BEV,2014,,1508
Denmark,Historical,EV sales,Cars,PHEV,2014,,87
Denmark,Historical,EV sales,Cars,BEV,2015,,4239
Denmark,Historical,EV sales,Cars,FCEV,2015,,37
Denmark,Historical,EV sales,Cars,PHEV,2015,,359
Denmark,Historical,EV sales,Cars,BEV,2016,,1218
Denmark,Historical,EV sales,Cars,FCEV,2016,,16
Denmark,Historical,EV sales,Cars,PHEV,2016,,182.25999450683594
Denmark,Historical,EV sales,Cars,BEV,2017,,693
Denmark,Historical,EV sales,Cars,FCEV,2017,,15
Denmark,Historical,EV sales,Cars,PHEV,2017,,620
Denmark,Historical,EV sales,Cars,BEV,2018,,1545
Denmark,Historical,EV sales,Cars,FCEV,2018,,5
Denmark,Historical,EV sales,Cars,PHEV,2018,,3127
Denmark,Historical,EV sales,Cars,BEV,2019,,5532
Denmark,Historical,EV sales,Cars,FCEV,2019,,8
Denmark,Historical,EV sales,Cars,PHEV,2019,,3885
Denmark,Historical,EV sales,Cars,BEV,2020,,14232
Denmark,Historical,EV sales,Cars,FCEV,2020,,45
Denmark,Historical,EV sales,Cars,PHEV,2020,,18246
Finland,Historical,EV sales,Cars,BEV,2011,,30
Finland,Historical,EV sales,Cars,BEV,2012,,51
Finland,Historical,EV sales,Cars,PHEV,2012,,128
Finland,Historical,EV sales,Cars,BEV,2013,,50
Finland,Historical,EV sales,Cars,PHEV,2013,,168
Finland,Historical,EV sales,Cars,BEV,2014,,183
Finland,Historical,EV sales,Cars,PHEV,2014,,257
Finland,Historical,EV sales,Cars,BEV,2015,,243
Finland,Historical,EV sales,Cars,PHEV,2015,,442
Finland,Historical,EV sales,Cars,BEV,2016,,223
Finland,Historical,EV sales,Cars,PHEV,2016,,1207
Finland,Historical,EV sales,Cars,BEV,2017,,502
Finland,Historical,EV sales,Cars,PHEV,2017,,2553
Finland,Historical,EV sales,Cars,BEV,2018,,776
Finland,Historical,EV sales,Cars,FCEV,2018,,1
Finland,Historical,EV sales,Cars,PHEV,2018,,4932
Finland,Historical,EV sales,Cars,BEV,2019,,1897
Finland,Historical,EV sales,Cars,PHEV,2019,,5983
Finland,Historical,EV sales,Cars,BEV,2020,,4245
Finland,Historical,EV sales,Cars,PHEV,2020,,13231
France,Historical,EV sales,Cars,BEV,2010,,187
France,Historical,EV sales,Cars,BEV,2011,,2630
France,Historical,EV sales,Cars,PHEV,2011,,96.16000366210938
France,Historical,EV sales,Cars,BEV,2012,,5661
France,Historical,EV sales,Cars,PHEV,2012,,601
France,Historical,EV sales,Cars,BEV,2013,,8781
France,Historical,EV sales,Cars,FCEV,2013,,1
France,Historical,EV sales,Cars,PHEV,2013,,834
France,Historical,EV sales,Cars,BEV,2014,,10567
France,Historical,EV sales,Cars,FCEV,2014,,1
France,Historical,EV sales,Cars,PHEV,2014,,2068
France,Historical,EV sales,Cars,BEV,2015,,17270
France,Historical,EV sales,Cars,FCEV,2015,,10
France,Historical,EV sales,Cars,PHEV,2015,,5677
France,Historical,EV sales,Cars,BEV,2016,,21758
France,Historical,EV sales,Cars,FCEV,2016,,4
France,Historical,EV sales,Cars,PHEV,2016,,7749
France,Historical,EV sales,Cars,BEV,2017,,25983
France,Historical,EV sales,Cars,FCEV,2017,,46
France,Historical,EV sales,Cars,PHEV,2017,,11614
France,Historical,EV sales,Cars,BEV,2018,,31055
France,Historical,EV sales,Cars,FCEV,2018,,10
France,Historical,EV sales,Cars,PHEV,2018,,15648
France,Historical,EV sales,Cars,BEV,2019,,42800
France,Historical,EV sales,Cars,FCEV,2019,,60
France,Historical,EV sales,Cars,PHEV,2019,,18553
France,Historical,EV sales,Cars,BEV,2020,,110000
France,Historical,EV sales,Cars,FCEV,2020,,211
France,Historical,EV sales,Cars,PHEV,2020,,74587
Germany,Historical,EV sales,Cars,BEV,2010,,144
Germany,Historical,EV sales,Cars,FCEV,2010,,16
Germany,Historical,EV sales,Cars,BEV,2011,,1404
Germany,Historical,EV sales,Cars,FCEV,2011,,38
Germany,Historical,EV sales,Cars,PHEV,2011,,241
Germany,Historical,EV sales,Cars,BEV,2012,,2214
Germany,Historical,EV sales,Cars,FCEV,2012,,29
Germany,Historical,EV sales,Cars,PHEV,2012,,1157
Germany,Historical,EV sales,Cars,BEV,2013,,5311
Germany,Historical,EV sales,Cars,FCEV,2013,,23
Germany,Historical,EV sales,Cars,PHEV,2013,,1620
Germany,Historical,EV sales,Cars,BEV,2014,,8347
Germany,Historical,EV sales,Cars,FCEV,2014,,8
Germany,Historical,EV sales,Cars,PHEV,2014,,4390
Germany,Historical,EV sales,Cars,BEV,2015,,12081
Germany,Historical,EV sales,Cars,FCEV,2015,,63
Germany,Historical,EV sales,Cars,PHEV,2015,,11111
Germany,Historical,EV sales,Cars,BEV,2016,,11321.51953125
Germany,Historical,EV sales,Cars,PHEV,2016,,13290.48046875
Germany,Historical,EV sales,Cars,BEV,2017,,25065
Germany,Historical,EV sales,Cars,FCEV,2017,,11
Germany,Historical,EV sales,Cars,PHEV,2017,,29499
Germany,Historical,EV sales,Cars,BEV,2018,,36062
Germany,Historical,EV sales,Cars,FCEV,2018,,24
Germany,Historical,EV sales,Cars,PHEV,2018,,31442
Germany,Historical,EV sales,Cars,BEV,2019,,63281
Germany,Historical,EV sales,Cars,FCEV,2019,,201
Germany,Historical,EV sales,Cars,PHEV,2019,,45348
Germany,Historical,EV sales,Cars,BEV,2020,,194474
Germany,Historical,EV sales,Cars,FCEV,2020,,308
Germany,Historical,EV sales,Cars,PHEV,2020,,200469
Greece,Historical,EV sales,Cars,BEV,2013,,3
Greece,Historical,EV sales,Cars,BEV,2014,,39
Greece,Historical,EV sales,Cars,BEV,2015,,54
Greece,Historical,EV sales,Cars,PHEV,2015,,21
Greece,Historical,EV sales,Cars,BEV,2016,,41
Greece,Historical,EV sales,Cars,PHEV,2016,,55
Greece,Historical,EV sales,Cars,BEV,2017,,53
Greece,Historical,EV sales,Cars,PHEV,2017,,138
Greece,Historical,EV sales,Cars,BEV,2018,,88
Greece,Historical,EV sales,Cars,PHEV,2018,,211
Greece,Historical,EV sales,Cars,BEV,2019,,190
Greece,Historical,EV sales,Cars,PHEV,2019,,290
Greece,Historical,EV sales,Cars,BEV,2020,,679
Greece,Historical,EV sales,Cars,PHEV,2020,,1452
Iceland,Historical,EV sales,Cars,BEV,2010,,2
Iceland,Historical,EV sales,Cars,FCEV,2010,,11
Iceland,Historical,EV sales,Cars,BEV,2012,,17
Iceland,Historical,EV sales,Cars,PHEV,2012,,9
Iceland,Historical,EV sales,Cars,BEV,2013,,80
Iceland,Historical,EV sales,Cars,PHEV,2013,,23
Iceland,Historical,EV sales,Cars,BEV,2014,,195
Iceland,Historical,EV sales,Cars,PHEV,2014,,29
Iceland,Historical,EV sales,Cars,BEV,2015,,387
Iceland,Historical,EV sales,Cars,PHEV,2015,,166
Iceland,Historical,EV sales,Cars,BEV,2016,,375
Iceland,Historical,EV sales,Cars,PHEV,2016,,780
Iceland,Historical,EV sales,Cars,BEV,2017,,847
Iceland,Historical,EV sales,Cars,PHEV,2017,,2181
Iceland,Historical,EV sales,Cars,BEV,2018,,784
Iceland,Historical,EV sales,Cars,FCEV,2018,,16
Iceland,Historical,EV sales,Cars,PHEV,2018,,2868
Iceland,Historical,EV sales,Cars,BEV,2019,,914
Iceland,Historical,EV sales,Cars,FCEV,2019,,7
Iceland,Historical,EV sales,Cars,PHEV,2019,,1734
Iceland,Historical,EV sales,Cars,BEV,2020,,2551
Iceland,Historical,EV sales,Cars,FCEV,2020,,1
Iceland,Historical,EV sales,Cars,PHEV,2020,,2355
India,Historical,EV sales,Cars,BEV,2010,,449
India,Historical,EV sales,Cars,BEV,2011,,1428
India,Historical,EV sales,Cars,BEV,2012,,191
India,Historical,EV sales,Cars,BEV,2013,,408
India,Historical,EV sales,Cars,BEV,2014,,1000
India,Historical,EV sales,Cars,BEV,2015,,450
India,Historical,EV sales,Cars,BEV,2016,,2000
India,Historical,EV sales,Cars,BEV,2017,,1200
India,Historical,EV sales,Cars,BEV,2018,,2104
India,Historical,EV sales,Cars,BEV,2019,,2081
India,Historical,EV sales,Cars,PHEV,2019,,7
India,Historical,EV sales,Cars,BEV,2020,,1554
India,Historical,EV sales,Cars,PHEV,2020,,43
Italy,Historical,EV sales,Cars,BEV,2010,,40
Italy,Historical,EV sales,Cars,BEV,2011,,113
Italy,Historical,EV sales,Cars,BEV,2012,,459
Italy,Historical,EV sales,Cars,BEV,2013,,794
Italy,Historical,EV sales,Cars,PHEV,2013,,182
Italy,Historical,EV sales,Cars,BEV,2014,,1040
Italy,Historical,EV sales,Cars,FCEV,2014,,10
Italy,Historical,EV sales,Cars,PHEV,2014,,336
Italy,Historical,EV sales,Cars,BEV,2015,,1396
Italy,Historical,EV sales,Cars,FCEV,2015,,1
Italy,Historical,EV sales,Cars,PHEV,2015,,738
Italy,Historical,EV sales,Cars,BEV,2016,,1382.2900390625
Italy,Historical,EV sales,Cars,PHEV,2016,,1438.7099609375
Italy,Historical,EV sales,Cars,BEV,2017,,2022
Italy,Historical,EV sales,Cars,PHEV,2017,,2864
Italy,Historical,EV sales,Cars,BEV,2018,,4978
Italy,Historical,EV sales,Cars,FCEV,2018,,1
Italy,Historical,EV sales,Cars,PHEV,2018,,4798
Italy,Historical,EV sales,Cars,BEV,2019,,10663
Italy,Historical,EV sales,Cars,FCEV,2019,,17
Italy,Historical,EV sales,Cars,PHEV,2019,,6471
Italy,Historical,EV sales,Cars,BEV,2020,,32485
Italy,Historical,EV sales,Cars,FCEV,2020,,7
Italy,Historical,EV sales,Cars,PHEV,2020,,27407
Japan,Historical,EV sales,Cars,BEV,2010,,2442
Japan,Historical,EV sales,Cars,FCEV,2010,,2
Japan,Historical,EV sales,Cars,BEV,2011,,12607
Japan,Historical,EV sales,Cars,PHEV,2011,,15
Japan,Historical,EV sales,Cars,BEV,2012,,13469
Japan,Historical,EV sales,Cars,FCEV,2012,,1
Japan,Historical,EV sales,Cars,PHEV,2012,,10968
Japan,Historical,EV sales,Cars,BEV,2013,,14756
Japan,Historical,EV sales,Cars,FCEV,2013,,4
Japan,Historical,EV sales,Cars,PHEV,2013,,14122
Japan,Historical,EV sales,Cars,BEV,2014,,16109
Japan,Historical,EV sales,Cars,FCEV,2014,,7
Japan,Historical,EV sales,Cars,PHEV,2014,,16178
Japan,Historical,EV sales,Cars,BEV,2015,,10465
Japan,Historical,EV sales,Cars,FCEV,2015,,388
Japan,Historical,EV sales,Cars,PHEV,2015,,14188
Japan,Historical,EV sales,Cars,BEV,2016,,15300
Japan,Historical,EV sales,Cars,FCEV,2016,,1055
Japan,Historical,EV sales,Cars,PHEV,2016,,9390
Japan,Historical,EV sales,Cars,BEV,2017,,18100
Japan,Historical,EV sales,Cars,FCEV,2017,,850
Japan,Historical,EV sales,Cars,PHEV,2017,,36000
Japan,Historical,EV sales,Cars,BEV,2018,,26530
Japan,Historical,EV sales,Cars,FCEV,2018,,610
Japan,Historical,EV sales,Cars,PHEV,2018,,23220
Japan,Historical,EV sales,Cars,BEV,2019,,21300
Japan,Historical,EV sales,Cars,FCEV,2019,,673
Japan,Historical,EV sales,Cars,PHEV,2019,,17600
Japan,Historical,EV sales,Cars,BEV,2020,,14600
Japan,Historical,EV sales,Cars,FCEV,2020,,800
Japan,Historical,EV sales,Cars,PHEV,2020,,14700
Korea,Historical,EV sales,Cars,BEV,2010,,61
Korea,Historical,EV sales,Cars,BEV,2011,,274
Korea,Historical,EV sales,Cars,BEV,2012,,514
Korea,Historical,EV sales,Cars,BEV,2013,,598
Korea,Historical,EV sales,Cars,BEV,2014,,1257
Korea,Historical,EV sales,Cars,BEV,2015,,3051
Korea,Historical,EV sales,Cars,FCEV,2015,,29
Korea,Historical,EV sales,Cars,PHEV,2015,,252
Korea,Historical,EV sales,Cars,BEV,2016,,4685
Korea,Historical,EV sales,Cars,FCEV,2016,,58
Korea,Historical,EV sales,Cars,PHEV,2016,,331
Korea,Historical,EV sales,Cars,BEV,2017,,13970
Korea,Historical,EV sales,Cars,FCEV,2017,,75
Korea,Historical,EV sales,Cars,PHEV,2017,,670
Korea,Historical,EV sales,Cars,BEV,2018,,55486
Korea,Historical,EV sales,Cars,FCEV,2018,,906
Korea,Historical,EV sales,Cars,PHEV,2018,,4367
Korea,Historical,EV sales,Cars,BEV,2019,,33423
Korea,Historical,EV sales,Cars,FCEV,2019,,4179
Korea,Historical,EV sales,Cars,PHEV,2019,,2730
Korea,Historical,EV sales,Cars,BEV,2020,,31329
