region,parameter,powertrain,year,unit,value
Australia,EV sales,BEV,2011,N/A,49.0
Australia,EV sales share,EV,2011,percent,0.006
Australia,EV sales,BEV,2012,N/A,173.0
Australia,EV sales,PHEV,2012,N/A,80.0
Australia,EV sales share,EV,2012,percent,0.029
Australia,EV sales,BEV,2013,N/A,191.0
Australia,EV sales,PHEV,2013,N/A,102.0
Australia,EV sales share,EV,2013,percent,0.033
Australia,EV sales,BEV,2014,N/A,371.0
Australia,EV sales,PHEV,2014,N/A,951.0
Australia,EV sales share,EV,2014,percent,0.149
Australia,EV sales,BEV,2015,N/A,759.0
Australia,EV sales,PHEV,2015,N/A,1012.0
Australia,EV sales share,EV,2015,percent,0.191
Australia,EV sales,BEV,2016,N/A,668.0
Australia,EV sales,PHEV,2016,N/A,701.0
Australia,EV sales share,EV,2016,percent,0.147
Australia,EV sales,BEV,2017,N/A,1208.0
Australia,EV sales,PHEV,2017,N/A,1076.0
Australia,EV sales share,EV,2017,percent,0.249
Australia,EV sales,BEV,2018,N/A,1803.0
Australia,EV sales,PHEV,2018,N/A,1802.0
Australia,EV sales share,EV,2018,percent,0.411
Australia,EV sales,BEV,2019,N/A,6283.0
Australia,EV sales,PHEV,2019,N/A,2877.0
Australia,EV sales share,EV,2019,percent,1.133
Australia,EV sales,BEV,2020,N/A,5238.0
Australia,EV sales,PHEV,2020,N/A,1307.0
Australia,EV sales share,EV,2020,percent,0.951
Belgium,EV sales,BEV,2011,N/A,175.0
Belgium,EV sales,PHEV,2011,N/A,11.0
Belgium,EV sales share,EV,2011,percent,0.033
Belgium,EV sales,BEV,2012,N/A,355.0
Belgium,EV sales,PHEV,2012,N/A,210.0
Belgium,EV sales share,EV,2012,percent,0.116
Belgium,EV sales,BEV,2013,N/A,500.0
Belgium,EV sales,PHEV,2013,N/A,34.0
Belgium,EV sales share,EV,2013,percent,0.11
Belgium,EV sales,BEV,2014,N/A,2047.0
Belgium,EV sales,PHEV,2014,N/A,69.0
Belgium,EV sales share,EV,2014,percent,0.438
Belgium,EV sales,BEV,2015,N/A,1358.0
Belgium,EV sales,FCEV,2015,N/A,2.0
Belgium,EV sales,PHEV,2015,N/A,2477.0
Belgium,EV sales share,EV,2015,percent,0.765
Belgium,EV sales,BEV,2016,N/A,2054.0
Belgium,EV sales,FCEV,2016,N/A,7.0
Belgium,EV sales,PHEV,2016,N/A,6671.0
Belgium,EV sales share,EV,2016,percent,1.617
Belgium,EV sales,BEV,2017,N/A,2713.0
Belgium,EV sales,FCEV,2017,N/A,11.0
Belgium,EV sales,PHEV,2017,N/A,11746.0
Belgium,EV sales share,EV,2017,percent,2.646
Belgium,EV sales,BEV,2018,N/A,3647.0
Belgium,EV sales,FCEV,2018,N/A,16.0
Belgium,EV sales,PHEV,2018,N/A,9706.0
Belgium,EV sales share,EV,2018,percent,2.429
Belgium,EV sales,BEV,2019,N/A,8837.0
Belgium,EV sales,FCEV,2019,N/A,12.0
Belgium,EV sales,PHEV,2019,N/A,8924.0
Belgium,EV sales share,EV,2019,percent,3.229
Belgium,EV sales,BEV,2020,N/A,15195.0
Belgium,EV sales,FCEV,2020,N/A,23.0
Belgium,EV sales,PHEV,2020,N/A,33012.0
Belgium,EV sales share,EV,2020,percent,11.172
Brazil,EV sales,BEV,2012,N/A,73.6
Brazil,EV sales,PHEV,2012,N/A,18.4
Brazil,EV sales share,EV,2012,percent,0.003
Brazil,EV sales,BEV,2013,N/A,133.6
Brazil,EV sales,PHEV,2013,N/A,33.4
Brazil,EV sales share,EV,2013,percent,0.005
Brazil,EV sales,BEV,2014,N/A,61.0
Brazil,EV sales share,EV,2014,percent,0.002
Brazil,EV sales,BEV,2015,N/A,59.0
Brazil,EV sales,PHEV,2015,N/A,28.0
Brazil,EV sales share,EV,2015,percent,0.004
Brazil,EV sales,BEV,2016,N/A,126.0
Brazil,EV sales,PHEV,2016,N/A,47.0
Brazil,EV sales share,EV,2016,percent,0.01
Brazil,EV sales,BEV,2017,N/A,28.0
Brazil,EV sales,PHEV,2017,N/A,288.0
Brazil,EV sales share,EV,2017,percent,0.017
Brazil,EV sales,BEV,2018,N/A,71.0
Brazil,EV sales,PHEV,2018,N/A,234.0
Brazil,EV sales share,EV,2018,percent,0.019
Brazil,EV sales,BEV,2019,N/A,538.0
Brazil,EV sales,PHEV,2019,N/A,1373.0
Brazil,EV sales share,EV,2019,percent,0.084
Brazil,EV sales,BEV,2020,N/A,686.0
Brazil,EV sales,PHEV,2020,N/A,1296.0
Brazil,EV sales share,EV,2020,percent,0.116
Canada,EV sales,BEV,2011,N/A,220.0
Canada,EV sales,PHEV,2011,N/A,300.0
Canada,EV sales share,EV,2011,percent,0.041
Canada,EV sales,BEV,2012,N/A,620.0
Canada,EV sales,PHEV,2012,N/A,1400.0
Canada,EV sales share,EV,2012,percent,0.148
Canada,EV sales,BEV,2013,N/A,1640.0
Canada,EV sales,PHEV,2013,N/A,1480.0
Canada,EV sales share,EV,2013,percent,0.222
Canada,EV sales,BEV,2014,N/A,2825.0
Canada,EV sales,PHEV,2014,N/A,2240.0
Canada,EV sales share,EV,2014,percent,0.357
Canada,EV sales,BEV,2015,N/A,4380.0
Canada,EV sales,PHEV,2015,N/A,2580.0
Canada,EV sales share,EV,2015,percent,0.459
Canada,EV sales,BEV,2016,N/A,5220.0
Canada,EV sales,PHEV,2016,N/A,6360.0
Canada,EV sales share,EV,2016,percent,0.752
Canada,EV sales,BEV,2017,N/A,8714.55
Canada,EV sales,PHEV,2017,N/A,7970.15
Canada,EV sales share,EV,2017,percent,1.018
Canada,EV sales,BEV,2018,N/A,22660.0
Canada,EV sales,PHEV,2018,N/A,21490.0
Canada,EV sales share,EV,2018,percent,2.754
Canada,EV sales,BEV,2019,N/A,32402.0
Canada,EV sales,FCEV,2019,N/A,79.0
Canada,EV sales,PHEV,2019,N/A,18561.0
Canada,EV sales share,EV,2019,percent,3.253
Canada,EV sales,BEV,2020,N/A,36912.0
Canada,EV sales,FCEV,2020,N/A,16.0
Canada,EV sales,PHEV,2020,N/A,14464.0
Canada,EV sales share,EV,2020,percent,4.157
Chile,EV sales,BEV,2011,N/A,6.0
Chile,EV sales share,EV,2011,percent,0.002
Chile,EV sales,BEV,2012,N/A,5.0
Chile,EV sales share,EV,2012,percent,0.002
Chile,EV sales,BEV,2013,N/A,5.0
Chile,EV sales share,EV,2013,percent,0.002
Chile,EV sales,BEV,2014,N/A,3.0
Chile,EV sales,PHEV,2014,N/A,14.0
Chile,EV sales share,EV,2014,percent,0.007
Chile,EV sales,BEV,2015,N/A,13.0
Chile,EV sales,PHEV,2015,N/A,23.0
Chile,EV sales share,EV,2015,percent,0.019
Chile,EV sales,BEV,2016,N/A,22.0
Chile,EV sales,PHEV,2016,N/A,9.0
Chile,EV sales share,EV,2016,percent,0.015
Chile,EV sales,BEV,2017,N/A,118.0
Chile,EV sales,PHEV,2017,N/A,15.0
Chile,EV sales share,EV,2017,percent,0.06
Chile,EV sales,BEV,2018,N/A,109.0
Chile,EV sales,PHEV,2018,N/A,68.0
Chile,EV sales share,EV,2018,percent,0.071
Chile,EV sales,BEV,2019,N/A,161.0
Chile,EV sales,PHEV,2019,N/A,137.0
Chile,EV sales share,EV,2019,percent,0.141
Chile,EV sales,BEV,2020,N/A,112.0
Chile,EV sales,PHEV,2020,N/A,79.0
Chile,EV sales share,EV,2020,percent,0.129
China,EV sales,BEV,2010,N/A,1090.0
China,EV sales,PHEV,2010,N/A,340.0
China,EV sales share,EV,2010,percent,0.01
China,EV sales,BEV,2011,N/A,4750.0
China,EV sales,PHEV,2011,N/A,320.0
China,EV sales share,EV,2011,percent,0.034
China,EV sales,BEV,2012,N/A,9640.0
China,EV sales,PHEV,2012,N/A,260.0
China,EV sales share,EV,2012,percent,0.062
China,EV sales,BEV,2013,N/A,14610.0
China,EV sales,PHEV,2013,N/A,730.0
China,EV sales share,EV,2013,percent,0.083
China,EV sales,BEV,2014,N/A,48906.3
China,EV sales,PHEV,2014,N/A,24265.2
China,EV sales share,EV,2014,percent,0.354
China,EV sales,BEV,2015,N/A,146719.0
China,EV sales,PHEV,2015,N/A,60663.0
China,EV sales share,EV,2015,percent,0.944
China,EV sales,BEV,2016,N/A,257000.0
China,EV sales,PHEV,2016,N/A,79000.0
China,EV sales share,EV,2016,percent,1.353
China,EV sales,BEV,2017,N/A,468000.0
China,EV sales,PHEV,2017,N/A,111000.0
China,EV sales share,EV,2017,percent,2.329
China,EV sales,BEV,2018,N/A,815870.0
China,EV sales,FCEV,2018,N/A,1527.0
China,EV sales,PHEV,2018,N/A,265219.0
China,EV sales share,EV,2018,percent,4.465
China,EV sales,BEV,2019,N/A,834197.0
China,EV sales,FCEV,2019,N/A,2737.0
China,EV sales,PHEV,2019,N/A,226106.0
China,EV sales share,EV,2019,percent,4.79
China,EV sales,BEV,2020,N/A,931291.0
China,EV sales,FCEV,2020,N/A,1182.0
China,EV sales,PHEV,2020,N/A,228291.0
China,EV sales share,EV,2020,percent,5.747
Denmark,EV sales,BEV,2010,N/A,28.0
Denmark,EV sales,PHEV,2010,N/A,20.0
Denmark,EV sales share,EV,2010,percent,0.031
Denmark,EV sales,BEV,2011,N/A,422.0
Denmark,EV sales share,EV,2011,percent,0.248
Denmark,EV sales,BEV,2012,N/A,486.0
Denmark,EV sales,PHEV,2012,N/A,11.0
Denmark,EV sales share,EV,2012,percent,0.291
Denmark,EV sales,BEV,2013,N/A,495.0
Denmark,EV sales,PHEV,2013,N/A,6.0
Denmark,EV sales share,EV,2013,percent,0.275
Denmark,EV sales,BEV,2014,N/A,1508.0
Denmark,EV sales,PHEV,2014,N/A,87.0
Denmark,EV sales share,EV,2014,percent,0.839
Denmark,EV sales,BEV,2015,N/A,4239.0
Denmark,EV sales,FCEV,2015,N/A,37.0
Denmark,EV sales,PHEV,2015,N/A,359.0
Denmark,EV sales share,EV,2015,percent,2.173
Denmark,EV sales,BEV,2016,N/A,1218.0
Denmark,EV sales,FCEV,2016,N/A,16.0
Denmark,EV sales,PHEV,2016,N/A,182.26
Denmark,EV sales share,EV,2016,percent,0.624
Denmark,EV sales,BEV,2017,N/A,693.0
Denmark,EV sales,FCEV,2017,N/A,15.0
Denmark,EV sales,PHEV,2017,N/A,620.0
Denmark,EV sales share,EV,2017,percent,0.589
Denmark,EV sales,BEV,2018,N/A,1545.0
Denmark,EV sales,FCEV,2018,N/A,5.0
Denmark,EV sales,PHEV,2018,N/A,3127.0
Denmark,EV sales share,EV,2018,percent,2.093
Denmark,EV sales,BEV,2019,N/A,5532.0
Denmark,EV sales,FCEV,2019,N/A,8.0
Denmark,EV sales,PHEV,2019,N/A,3885.0
Denmark,EV sales share,EV,2019,percent,4.01
Denmark,EV sales,BEV,2020,N/A,14232.0
Denmark,EV sales,FCEV,2020,N/A,45.0
Denmark,EV sales,PHEV,2020,N/A,18246.0
Denmark,EV sales share,EV,2020,percent,16.358
Europe,EV sales share,EV,2010,percent,0.017
Europe,EV sales share,EV,2011,percent,0.069
Europe,EV sales share,EV,2012,percent,0.196
Europe,EV sales share,EV,2013,percent,0.421
Europe,EV sales share,EV,2014,percent,0.654
Europe,EV sales share,EV,2015,percent,1.169
Europe,EV sales share,EV,2016,percent,1.213
Europe,EV sales share,EV,2017,percent,1.669
Europe,EV sales share,EV,2018,percent,2.174
Europe,EV sales share,EV,2019,percent,3.214
Europe,EV sales share,EV,2020,percent,9.988
Finland,EV sales,BEV,2011,N/A,30.0
Finland,EV sales share,EV,2011,percent,0.025
Finland,EV sales,BEV,2012,N/A,51.0
Finland,EV sales,PHEV,2012,N/A,128.0
Finland,EV sales share,EV,2012,percent,0.167
Finland,EV sales,BEV,2013,N/A,50.0
Finland,EV sales,PHEV,2013,N/A,168.0
Finland,EV sales share,EV,2013,percent,0.211
Finland,EV sales,BEV,2014,N/A,183.0
Finland,EV sales,PHEV,2014,N/A,257.0
Finland,EV sales share,EV,2014,percent,0.412
Finland,EV sales,BEV,2015,N/A,243.0
Finland,EV sales,PHEV,2015,N/A,442.0
Finland,EV sales share,EV,2015,percent,0.625
Finland,EV sales,BEV,2016,N/A,223.0
Finland,EV sales,PHEV,2016,N/A,1207.0
Finland,EV sales share,EV,2016,percent,1.188
Finland,EV sales,BEV,2017,N/A,502.0
Finland,EV sales,PHEV,2017,N/A,2553.0
Finland,EV sales share,EV,2017,percent,2.513
Finland,EV sales,BEV,2018,N/A,776.0
Finland,EV sales,FCEV,2018,N/A,1.0
Finland,EV sales,PHEV,2018,N/A,4932.0
Finland,EV sales share,EV,2018,percent,4.525
Finland,EV sales,BEV,2019,N/A,1897.0
Finland,EV sales,PHEV,2019,N/A,5983.0
Finland,EV sales share,EV,2019,percent,6.9
Finland,EV sales,BEV,2020,N/A,4245.0
Finland,EV sales,PHEV,2020,N/A,13231.0
Finland,EV sales share,EV,2020,percent,18.127
France,EV sales,BEV,2010,N/A,187.0
France,EV sales share,EV,2010,percent,0.008
France,EV sales,BEV,2011,N/A,2630.0
France,EV sales,PHEV,2011,N/A,96.16
France,EV sales share,EV,2011,percent,0.126
France,EV sales,BEV,2012,N/A,5661.0
France,EV sales,PHEV,2012,N/A,601.0
France,EV sales share,EV,2012,percent,0.337
France,EV sales,BEV,2013,N/A,8781.0
France,EV sales,FCEV,2013,N/A,1.0
France,EV sales,PHEV,2013,N/A,834.0
France,EV sales share,EV,2013,percent,0.547
France,EV sales,BEV,2014,N/A,10567.0
France,EV sales,FCEV,2014,N/A,1.0
France,EV sales,PHEV,2014,N/A,2068.0
France,EV sales share,EV,2014,percent,0.716
France,EV sales,BEV,2015,N/A,17270.0
France,EV sales,FCEV,2015,N/A,10.0
France,EV sales,PHEV,2015,N/A,5677.0
France,EV sales share,EV,2015,percent,1.217
France,EV sales,BEV,2016,N/A,21758.0
France,EV sales,FCEV,2016,N/A,4.0
France,EV sales,PHEV,2016,N/A,7749.0
France,EV sales share,EV,2016,percent,1.487
France,EV sales,BEV,2017,N/A,25983.0
France,EV sales,FCEV,2017,N/A,46.0
France,EV sales,PHEV,2017,N/A,11614.0
France,EV sales share,EV,2017,percent,1.808
France,EV sales,BEV,2018,N/A,31055.0
France,EV sales,FCEV,2018,N/A,10.0
France,EV sales,PHEV,2018,N/A,15648.0
France,EV sales share,EV,2018,percent,2.184
France,EV sales,BEV,2019,N/A,42800.0
France,EV sales,FCEV,2019,N/A,60.0
France,EV sales,PHEV,2019,N/A,18553.0
France,EV sales share,EV,2019,percent,2.822
France,EV sales,BEV,2020,N/A,110000.0
France,EV sales,FCEV,2020,N/A,211.0
France,EV sales,PHEV,2020,N/A,74587.0
France,EV sales share,EV,2020,percent,11.316
Germany,EV sales,BEV,2010,N/A,144.0
Germany,EV sales,FCEV,2010,N/A,16.0
Germany,EV sales share,EV,2010,percent,0.005
Germany,EV sales,BEV,2011,N/A,1404.0
Germany,EV sales,FCEV,2011,N/A,38.0
Germany,EV sales,PHEV,2011,N/A,241.0
Germany,EV sales share,EV,2011,percent,0.052
Germany,EV sales,BEV,2012,N/A,2214.0
Germany,EV sales,FCEV,2012,N/A,29.0
Germany,EV sales,PHEV,2012,N/A,1157.0
Germany,EV sales share,EV,2012,percent,0.109
Germany,EV sales,BEV,2013,N/A,5311.0
Germany,EV sales,FCEV,2013,N/A,23.0
Germany,EV sales,PHEV,2013,N/A,1620.0
Germany,EV sales share,EV,2013,percent,0.234
Germany,EV sales,BEV,2014,N/A,8347.0
Germany,EV sales,FCEV,2014,N/A,8.0
Germany,EV sales,PHEV,2014,N/A,4390.0
Germany,EV sales share,EV,2014,percent,0.418
Germany,EV sales,BEV,2015,N/A,12081.0
Germany,EV sales,FCEV,2015,N/A,63.0
Germany,EV sales,PHEV,2015,N/A,11111.0
Germany,EV sales share,EV,2015,percent,0.718
Germany,EV sales,BEV,2016,N/A,11321.5
Germany,EV sales,PHEV,2016,N/A,13290.5
Germany,EV sales share,EV,2016,percent,0.729
Germany,EV sales,BEV,2017,N/A,25065.0
Germany,EV sales,FCEV,2017,N/A,11.0
Germany,EV sales,PHEV,2017,N/A,29499.0
Germany,EV sales share,EV,2017,percent,1.561
Germany,EV sales,BEV,2018,N/A,36062.0
Germany,EV sales,FCEV,2018,N/A,24.0
Germany,EV sales,PHEV,2018,N/A,31442.0
Germany,EV sales share,EV,2018,percent,1.927
Germany,EV sales,BEV,2019,N/A,63281.0
Germany,EV sales,FCEV,2019,N/A,201.0
Germany,EV sales,PHEV,2019,N/A,45348.0
Germany,EV sales share,EV,2019,percent,2.923
Germany,EV sales,BEV,2020,N/A,194474.0
Germany,EV sales,FCEV,2020,N/A,308.0
Germany,EV sales,PHEV,2020,N/A,200469.0
Germany,EV sales share,EV,2020,percent,13.536
Greece,EV sales,BEV,2013,N/A,3.0
Greece,EV sales share,EV,2013,percent,0.005
Greece,EV sales,BEV,2014,N/A,39.0
Greece,EV sales share,EV,2014,percent,0.055
Greece,EV sales,BEV,2015,N/A,54.0
Greece,EV sales,PHEV,2015,N/A,21.0
Greece,EV sales share,EV,2015,percent,0.099
Greece,EV sales,BEV,2016,N/A,41.0
Greece,EV sales,PHEV,2016,N/A,55.0
Greece,EV sales share,EV,2016,percent,0.122
Greece,EV sales,BEV,2017,N/A,53.0
Greece,EV sales,PHEV,2017,N/A,138.0
Greece,EV sales share,EV,2017,percent,0.217
Greece,EV sales,BEV,2018,N/A,88.0
Greece,EV sales,PHEV,2018,N/A,211.0
Greece,EV sales share,EV,2018,percent,0.289
Greece,EV sales,BEV,2019,N/A,190.0
Greece,EV sales,PHEV,2019,N/A,290.0
Greece,EV sales share,EV,2019,percent,0.421
Greece,EV sales,BEV,2020,N/A,679.0
Greece,EV sales,PHEV,2020,N/A,1452.0
Greece,EV sales share,EV,2020,percent,2.632
Iceland,EV sales,BEV,2010,N/A,2.0
Iceland,EV sales,FCEV,2010,N/A,11.0
Iceland,EV sales share,EV,2010,percent,0.06
Iceland,EV sales,BEV,2012,N/A,17.0
Iceland,EV sales,PHEV,2012,N/A,9.0
Iceland,EV sales share,EV,2012,percent,0.311
Iceland,EV sales,BEV,2013,N/A,80.0
Iceland,EV sales,PHEV,2013,N/A,23.0
Iceland,EV sales share,EV,2013,percent,1.282
Iceland,EV sales,BEV,2014,N/A,195.0
Iceland,EV sales,PHEV,2014,N/A,29.0
Iceland,EV sales share,EV,2014,percent,2.144
Iceland,EV sales,BEV,2015,N/A,387.0
Iceland,EV sales,PHEV,2015,N/A,166.0
Iceland,EV sales share,EV,2015,percent,3.645
Iceland,EV sales,BEV,2016,N/A,375.0
Iceland,EV sales,PHEV,2016,N/A,780.0
Iceland,EV sales share,EV,2016,percent,5.564
Iceland,EV sales,BEV,2017,N/A,847.0
Iceland,EV sales,PHEV,2017,N/A,2181.0
Iceland,EV sales share,EV,2017,percent,11.705
Iceland,EV sales,BEV,2018,N/A,784.0
Iceland,EV sales,FCEV,2018,N/A,16.0
Iceland,EV sales,PHEV,2018,N/A,2868.0
Iceland,EV sales share,EV,2018,percent,17.219
Iceland,EV sales,BEV,2019,N/A,914.0
Iceland,EV sales,FCEV,2019,N/A,7.0
Iceland,EV sales,PHEV,2019,N/A,1734.0
Iceland,EV sales share,EV,2019,percent,22.6
Iceland,EV sales,BEV,2020,N/A,2551.0
Iceland,EV sales,FCEV,2020,N/A,1.0
Iceland,EV sales,PHEV,2020,N/A,2355.0
Iceland,EV sales share,EV,2020,percent,52.37
India,EV sales,BEV,2010,N/A,449.0
India,EV sales share,EV,2010,percent,0.021
India,EV sales,BEV,2011,N/A,1428.0
India,EV sales share,EV,2011,percent,0.057
India,EV sales,BEV,2012,N/A,191.0
India,EV sales share,EV,2012,percent,0.007
India,EV sales,BEV,2013,N/A,408.0
India,EV sales share,EV,2013,percent,0.016
India,EV sales,BEV,2014,N/A,1000.0
India,EV sales share,EV,2014,percent,0.037
India,EV sales,BEV,2015,N/A,450.0
India,EV sales share,EV,2015,percent,0.016
India,EV sales,BEV,2016,N/A,2000.0
India,EV sales share,EV,2016,percent,0.067
India,EV sales,BEV,2017,N/A,1200.0
India,EV sales share,EV,2017,percent,0.038
India,EV sales,BEV,2018,N/A,2104.0
India,EV sales share,EV,2018,percent,0.065
India,EV sales,BEV,2019,N/A,2081.0
India,EV sales,PHEV,2019,N/A,7.0
India,EV sales share,EV,2019,percent,0.068
India,EV sales,BEV,2020,N/A,1554.0
India,EV sales,PHEV,2020,N/A,43.0
India,EV sales share,EV,2020,percent,0.056
Indonesia,EV sales share,EV,2017,percent,0.003
Indonesia,EV sales share,EV,2019,percent,0.012
Indonesia,EV sales share,EV,2020,percent,0.054
Italy,EV sales,BEV,2010,N/A,40.0
Italy,EV sales share,EV,2010,percent,0.002
Italy,EV sales,BEV,2011,N/A,113.0
Italy,EV sales share,EV,2011,percent,0.006
Italy,EV sales,BEV,2012,N/A,459.0
Italy,EV sales share,EV,2012,percent,0.033
Italy,EV sales,BEV,2013,N/A,794.0
Italy,EV sales,PHEV,2013,N/A,182.0
Italy,EV sales share,EV,2013,percent,0.075
Italy,EV sales,BEV,2014,N/A,1040.0
Italy,EV sales,FCEV,2014,N/A,10.0
Italy,EV sales,PHEV,2014,N/A,336.0
Italy,EV sales share,EV,2014,percent,0.101
Italy,EV sales,BEV,2015,N/A,1396.0
Italy,EV sales,FCEV,2015,N/A,1.0
Italy,EV sales,PHEV,2015,N/A,738.0
Italy,EV sales share,EV,2015,percent,0.135
Italy,EV sales,BEV,2016,N/A,1382.29
Italy,EV sales,PHEV,2016,N/A,1438.71
Italy,EV sales share,EV,2016,percent,0.154
Italy,EV sales,BEV,2017,N/A,2022.0
Italy,EV sales,PHEV,2017,N/A,2864.0
Italy,EV sales share,EV,2017,percent,0.247
Italy,EV sales,BEV,2018,N/A,4978.0
Italy,EV sales,FCEV,2018,N/A,1.0
Italy,EV sales,PHEV,2018,N/A,4798.0
Italy,EV sales share,EV,2018,percent,0.509
Italy,EV sales,BEV,2019,N/A,10663.0
Italy,EV sales,FCEV,2019,N/A,17.0
Italy,EV sales,PHEV,2019,N/A,6471.0
Italy,EV sales share,EV,2019,percent,0.894
Italy,EV sales,BEV,2020,N/A,32485.0
Italy,EV sales,FCEV,2020,N/A,7.0
Italy,EV sales,PHEV,2020,N/A,27407.0
Italy,EV sales share,EV,2020,percent,4.335
Japan,EV sales,BEV,2010,N/A,2442.0
Japan,EV sales,FCEV,2010,N/A,2.0
Japan,EV sales share,EV,2010,percent,0.055
Japan,EV sales,BEV,2011,N/A,12607.0
Japan,EV sales,PHEV,2011,N/A,15.0
Japan,EV sales share,EV,2011,percent,0.328
Japan,EV sales,BEV,2012,N/A,13469.0
Japan,EV sales,FCEV,2012,N/A,1.0
Japan,EV sales,PHEV,2012,N/A,10968.0
Japan,EV sales share,EV,2012,percent,0.53
Japan,EV sales,BEV,2013,N/A,14756.0
Japan,EV sales,FCEV,2013,N/A,4.0
Japan,EV sales,PHEV,2013,N/A,14122.0
Japan,EV sales share,EV,2013,percent,0.644
Japan,EV sales,BEV,2014,N/A,16109.0
Japan,EV sales,FCEV,2014,N/A,7.0
Japan,EV sales,PHEV,2014,N/A,16178.0
Japan,EV sales share,EV,2014,percent,0.669
Japan,EV sales,BEV,2015,N/A,10465.0
Japan,EV sales,FCEV,2015,N/A,388.0
Japan,EV sales,PHEV,2015,N/A,14188.0
Japan,EV sales share,EV,2015,percent,0.557
Japan,EV sales,BEV,2016,N/A,15300.0
Japan,EV sales,FCEV,2016,N/A,1055.0
Japan,EV sales,PHEV,2016,N/A,9390.0
Japan,EV sales share,EV,2016,percent,0.576
Japan,EV sales,BEV,2017,N/A,18100.0
Japan,EV sales,FCEV,2017,N/A,850.0
Japan,EV sales,PHEV,2017,N/A,36000.0
Japan,EV sales share,EV,2017,percent,1.034
Japan,EV sales,BEV,2018,N/A,26530.0
Japan,EV sales,FCEV,2018,N/A,610.0
Japan,EV sales,PHEV,2018,N/A,23220.0
Japan,EV sales share,EV,2018,percent,0.944
Japan,EV sales,BEV,2019,N/A,21300.0
Japan,EV sales,FCEV,2019,N/A,673.0
Japan,EV sales,PHEV,2019,N/A,17600.0
Japan,EV sales share,EV,2019,percent,0.749
Japan,EV sales,BEV,2020,N/A,14600.0
Japan,EV sales,FCEV,2020,N/A,800.0
Japan,EV sales,PHEV,2020,N/A,14700.0
Japan,EV sales share,EV,2020,percent,0.637
Malaysia,EV sales share,EV,2012,percent,0.002
Malaysia,EV sales share,EV,2014,percent,0.003
Malaysia,EV sales share,EV,2015,percent,0.006
Malaysia,EV sales share,EV,2016,percent,0.021
Malaysia,EV sales share,EV,2017,percent,1.581
Malaysia,EV sales share,EV,2018,percent,1.481
Malaysia,EV sales share,EV,2019,percent,0.03
Malaysia,EV sales share,EV,2020,percent,0.035
Mexico,EV sales,BEV,2011,N/A,3.0
Mexico,EV sales,BEV,2012,N/A,88.0
Mexico,EV sales share,EV,2012,percent,0.011
Mexico,EV sales,BEV,2013,N/A,12.0
Mexico,EV sales share,EV,2013,percent,0.001
Mexico,EV sales,BEV,2014,N/A,48.0
Mexico,EV sales share,EV,2014,percent,0.005
Mexico,EV sales,BEV,2015,N/A,92.0
